Airline_ID,Country
21,France
24,United States
28,Republic of Korea
83,Slovenia
90,Spain
130,Russia
137,France
151,Senegal
199,France
214,Germany
218,India
220,Reunion
225,France
240,Italy
242,Malta
312,Italy
321,Mexico
324,Japan
330,Canada
333,Latvia
345,New Zealand
439,ALASKA
491,Austria
596,Italy
751,China
807,Italy
837,Ireland
1166,Kenya
1203,France
1316,United States
1317,Canada
1355,United Kingdom
1359,Bangladesh
1463,Italy
1521,Indonesia
1531,Belgium
1539,Spain
1548,Bulgaria
1680,Hong Kong SAR of China
1756,Taiwan
1758,China
1769,China
1792,Ireland
1868,Germany
1925,Croatia
1942,Cyprus
1946,Czech Republic
1954,Denmark
2009,United States
2150,Israel
2183,United Arab Emirates
2218,Estonia
2220,Ethiopia
2222,United Arab Emirates
2245,Poland
2260,Germany
2297,United Kingdom
2350,Finland
2421,United Kingdom
2439,Taiwan
2448,United States
2468,United States
2548,Germany
2638,Bahrain
2659,Germany
2660,China
2681,Germany
2684,Canada
2688,United States
2822,Spain
2987,Japan
2988,Japan
3026,United Kingdom
3029,United States
3090,Netherlands
3126,Kenya
3163,Republic of Korea
3179,Kuwait
3200,Chile
3210,Poland
3213,Germany
3320,Germany
3321,Germany
3329,Luxembourg
3378,Malaysia
3386,Sweden
3463,Italy
3532,United Kingdom
3661,Austria
3737,Norway
3740,Tunisia
3830,United States
3871,Pakistan
4040,Cambodia
4089,Australia
4091,Qatar
4248,Morocco
4259,Jordan
4296,Ireland
4304,Portugal
4305,South Africa
4319,Sweden
4435,Singapore
4464,Singapore
4547,United States
4687,United States
4869,Portugal
4940,Thailand
4951,Turkey
4965,France
5039,Netherlands
5067,Russia
5097,Czech Republic
5179,Romania
5209,United States
5213,United States
5265,United States
5281,Uzbekistan
5288,Australia
5309,Vietnam
5322,Venezuela
5331,United States
5347,United Kingdom
5352,Spain
5360,Australia
5416,Canada
5461,Hungary
5479,France
8745,France
9784,Burma
18643,United States
19610,Lithuania
20565,United States
20577,Spain
